dimension,subgroup,outcome,att,ci_low,ci_high,ntr,n_cohorts
System membership,System,Current ratio,0.008959626054077905,-0.15789329303340527,0.17581254514156108,335,7
System membership,System,Net fixed assets,-0.01508984440553624,-0.03235569649815083,0.0021760076870783514,334,7
System membership,System,Capital expenditures per bed,0.18394989032199005,-0.4134312234437334,0.7813310040877135,303,7
System membership,System,Net patient revenue per bed,-25.892158749320444,-41.052897520177794,-10.731419978463093,336,7
System membership,System,Operating expenses per bed,-30.862660410851422,-43.52892991531106,-18.196390906391784,348,7
System membership,System,Total beds,-7.591746385851204,-10.023044282328957,-5.160448489373451,369,7
System membership,System,OB beds,-0.7157161824947315,-0.9449350148018102,-0.4864973501876527,365,7
System membership,System,FTE RNs,-3.5803936131001026,-5.122450287108884,-2.0383369390913213,369,7
System membership,System,Inpatient days per bed,-19.71389365781877,-25.02637250714848,-14.401414808489058,369,7
System membership,Independent,Operating margin,0.04608668460785021,0.03519669197454994,0.05697667724115048,297,6
System membership,Independent,Current ratio,0.05676366878789144,-0.11235585258769093,0.2258831901634738,297,6
System membership,Independent,Net fixed assets,-0.009710118471088287,-0.024746789400875227,0.0053265524586986555,297,6
System membership,Independent,Capital expenditures per bed,-0.20868807309956822,-0.8479366773402397,0.4305605311411033,258,6
System membership,Independent,Net patient revenue per bed,-14.569066801690411,-28.960924713636192,-0.17720888974463023,297,6
System membership,Independent,Operating expenses per bed,-26.308412917992506,-40.373177603088465,-12.243648232896547,308,6
System membership,Independent,Total beds,-6.425499425349102,-8.136672860282415,-4.714325990415789,327,6
System membership,Independent,OB beds,-0.6843839098125951,-0.8849502937539829,-0.4838175258712073,324,6
System membership,Independent,FTE RNs,-3.6157688069431653,-4.595012456817315,-2.636525157069016,327,6
System membership,Independent,Inpatient days per bed,-17.035772501544674,-23.001459513868888,-11.07008548922046,327,6
